# OGLE EWS map.dat file for OGLE-2024-BLG-0223
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
158360 1555.34 4030.80 99.999  9.999 19.122   0   0 9.999 2881   6 0.111
158361 1616.53 4032.25 21.036  2.939 18.097  74   0 0.181 2896   2 0.045
158363 1546.40 4032.91 22.270  3.439 18.830  65   0 0.452 2893   2 0.077
158372 1621.08 4038.30 21.515  2.876 18.639  74   0 0.295 2892   1 0.066
158379 1624.72 4043.68 99.999  9.999 18.311   0   0 9.999 2890   2 0.049
158384 1587.77 4046.94 19.882  1.795 18.087  74   1 0.061 2890   5 0.045
158385 1642.90 4045.44 21.994  3.464 18.530  71   0 0.342 2887   3 0.057
158401 1647.04 4054.14 99.999  9.999 18.771   0   0 9.999 2885   3 0.072
158406 1545.40 4058.77 99.999  9.999 18.649   0   0 9.999 2887   4 0.077
158415 1596.65 4065.67 21.701  3.629 18.073  71   0 0.267 2892   3 0.044
158417 1541.89 4066.55 99.999  9.999 17.984   0   0 9.999 2895   4 0.133
158419 1635.57 4070.72 99.999  9.999 18.262   0   0 9.999 2893   3 0.088
158420 1612.30 4070.64 99.999  9.999 18.500   0   0 9.999 2888   3 0.059
158421 1607.16 4072.23 99.999  9.999 18.712   0   0 9.999 2884   4 0.072
158433 1640.91 4082.22 99.999  9.999 18.477   0   0 9.999 2886   5 0.057
158437 1565.45 4084.26 99.999  9.999 18.594   0   0 9.999 2896   2 0.064
158439 1571.15 4086.40 99.999  9.999 18.122   0   0 9.999 2893   4 0.042
158446 1576.10 4092.81 99.999  9.999 19.632   0   0 9.999 2873   3 0.198
158448 1609.41 4095.80 99.999  9.999 18.739   0   0 9.999 2891   1 0.068
158450 1552.35 4098.35 99.999  9.999 18.794   0   0 9.999 2890   4 0.081
158455 1570.95 4099.77 99.999  9.999 18.964   0   0 9.999 2891   5 0.157
158458 1575.32 4105.90 99.999  9.999 18.465   0   0 9.999 2890   5 0.093
158462 1642.80 4111.36 20.354  1.975 18.379  74   0 0.095 2880   1 0.053
158466 1596.14 4116.14 99.999  9.999 18.397   0   0 9.999 2878   4 0.051
158477 1605.72 4129.72 99.999  9.999 18.694   0   0 9.999 2852   2 0.063
158480 1599.61 4132.26 99.999  9.999 18.748   0   0 9.999 2851   6 0.072
158487 1557.85 4136.24 21.962  2.923 19.039  67   0 0.315 2852   2 0.095
158489 1602.72 4139.85 22.140  3.362 18.779  70   0 0.430 2833   4 0.073
158493 1585.28 4142.23 99.999  9.999 18.649   0   0 9.999 2845   0 0.155
158500 1542.16 4148.10 19.771  1.587 18.184  71   0 0.048 2828   3 0.043
158501 1595.01 4147.13 99.999  9.999 18.308   0   0 9.999 2824   0 0.412
158510 1580.15 4156.09 99.999  9.999 18.790   0   0 9.999 2797   2 0.082
158526 1615.79 4169.06 21.430  2.700 18.730  67   1 0.162 2754   1 0.068
158533 1610.33 4172.69 99.999  9.999 18.521   0   0 9.999 2748   4 0.060
158539 1565.08 4177.73 22.206  4.178 18.028  62   0 0.420 2742   4 0.039
158540 1592.66 4175.75 99.999  9.999 19.082   0   0 9.999  898   0 0.681
158545 1573.82 4181.69 21.454  3.321 18.133  65   0 0.199 2720   5 0.063
158551 1619.24 4186.67 99.999  9.999 18.056   0   0 9.999 2713   3 0.040
158560 1561.79 4190.98 20.511  1.952 18.559  67   0 0.112 2698   4 0.061
158572 1555.32 4200.85 99.999  9.999 18.583   0   0 9.999 2676   2 0.070
158573 1631.58 4202.57 99.999  9.999 18.395   0   0 9.999 2668   4 0.069
158576 1638.97 4203.74 21.544  2.777 18.767  66   0 0.266 2664   1 0.073
158591 1594.78 4216.91 20.788  2.831 17.957  64   1 0.134 2612   5 0.038
158592 1601.52 4219.96 21.268  2.913 18.355  63   0 0.222 2596   5 0.123
158600 1559.15 4231.08 99.999  9.999 18.314   0   0 9.999 2524   3 0.056
158604 1593.46 4234.31 19.654  1.582 18.072  63   0 0.052 2487   4 0.041
158613 1575.97 4238.00 99.999  9.999 18.793   0   0 9.999 2441   1 0.099
158616 1560.09 4242.49 21.559  3.038 18.521  64   0 0.262 2387   2 0.064
158617 1570.46 4242.87 21.753  3.778 17.975  63   0 0.314 2376   4 0.048
158621 1646.71 4245.23 20.760  2.119 18.640  61   0 0.193 2359   2 0.077
158625 1547.43 4246.64 99.999  9.999 18.832   0   0 9.999 2330   1 0.083
158633 1619.94 4253.81 21.438  3.097 18.341  57   0 0.330 2251   4 0.057
158651 1645.62 4261.65 99.999  9.999 18.287   0   0 9.999 2132   2 0.051
158652 1594.10 4262.87 99.999  9.999 18.310   0   0 9.999 2138   2 0.087
158661 1615.19 4268.86 99.999  9.999 18.593   0   0 9.999 2050   1 0.069
158662 1636.75 4270.24 21.563  3.262 18.301  56   0 0.239 2036   2 0.051
158671 1574.15 4275.84 99.999  9.999 18.708   0   0 9.999 1950   2 0.076
158677 1547.03 4283.87 21.245  2.947 18.298  51   1 0.238 1848   1 0.050
158680 1626.44 4284.56 20.919  2.185 18.734  48   1 0.142 1827   1 0.085
158683 1549.08 4288.29 21.474  2.547 18.926  45   0 0.274 1748   1 0.085
158698 1648.14 4297.33 21.064  2.195 18.869  43   1 0.149 1527   1 0.086
158701 1572.74 4298.75 99.999  9.999 18.825   0   0 9.999 1463   2 0.092
158703 1582.98 4298.56 99.999  9.999 18.904   0   0 9.999 1498   0 0.193
158704 1633.00 4300.06 99.999  9.999 18.278   0   0 9.999 1438   1 0.054
158705 1640.47 4300.97 22.063  3.653 18.411  40   0 0.421 1401   1 0.057
158712 1605.59 4305.29 99.999  9.999 18.591   0   0 9.999 1279   2 0.086
158715 1553.11 4306.14 99.999  9.999 18.502   0   0 9.999 1252   2 0.076
158716 1590.26 4306.05 19.946  1.652 18.294  43   1 0.147 1256   3 0.128
158720 1556.38 4309.33 99.999  9.999 18.457   0   0 9.999 1165   0 0.091
158724 1613.17 4310.79 21.349  2.690 18.659  36   0 0.319 1102   0 0.091
158725 1584.60 4312.93 99.999  9.999 18.428   0   0 9.999 1049   1 0.235
158728 1559.44 4314.77 99.999  9.999 17.455   0   0 9.999 1004   5 0.041
158729 1564.22 4314.36 19.649  1.093 18.556  35   0 0.077 1028   2 0.098
158731 1594.66 4316.14 19.468  1.515 17.953  32   0 0.259  980   0 0.231
158733 1640.80 4316.29 22.105  3.556 18.548  25   0 0.561  956   8 0.105
158737 1620.63 4318.44 21.415  3.473 17.942  25   0 0.402  917   9 0.103
158739 1588.93 4321.59 99.999  9.999 16.481   0   0 9.999  863   2 0.295
158741 1617.03 4320.45 99.999  9.999 17.978   0   0 9.999  867   4 0.169
158743 1600.14 4322.00 99.999  9.999 18.941   0   0 9.999  804   0 0.395
158751 1573.90 4323.77 99.999  9.999 18.511   0   0 9.999  770   1 0.326
158752 1632.37 4324.55 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158755 1585.91 4329.58 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158758 1545.08 4330.27 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158761 1580.26 4335.05 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158762 1595.70 4333.38 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158766 1619.24 4333.08 99.999  9.999 99.999   0   0 9.999    0   0 9.999
158767 1550.10 4313.94 99.999  9.999 18.958   0   0 9.999 1022   2 0.125
158780 1588.13 3972.42 99.999  9.999 18.757   0   0 9.999 2875   2 0.175
158782 1639.93 4003.31 99.999  9.999 19.498   0   0 9.999 2885   2 0.140
158785 1603.84 4016.32 99.999  9.999 19.724   0   0 9.999 2875   4 0.173
158794 1609.76 4168.51 99.999  9.999 19.396   0   0 9.999 2762   1 0.130
158796 1619.78 4191.35 99.999  9.999 19.320   0   0 9.999 2695   3 0.121
158801 1559.27 4234.17 21.143  2.460 18.684  62   0 0.184 2491   2 0.074
158804 1558.45 4239.98 99.999  9.999 19.561   0   0 9.999 2411   2 0.162
158808 1551.25 4290.98 99.999  9.999 19.371   0   0 9.999 1694   0 0.131
158810 1573.72 4295.17 99.999  9.999 19.635   0   0 9.999 1580   1 0.196
158878 1645.12 3958.63 22.223  3.226 18.997  71   0 0.432 2886   4 0.093
158892 1594.22 3962.61 99.999  9.999 19.585   0   0 9.999 2857   6 0.187
158896 1607.68 3964.95 99.999  9.999 19.301   0   0 9.999 2882   4 0.122
158897 1632.20 3966.65 20.955  2.024 18.931  74   0 0.163 2884   3 0.080
158900 1554.96 3965.44 99.999  9.999 19.437   0   0 9.999 2882   2 0.136
158901 1563.36 3965.24 99.999  9.999 19.404   0   0 9.999 2884   2 0.132
158917 1567.22 3970.08 99.999  9.999 19.583   0   0 9.999 2881   2 0.153
158918 1600.98 3970.55 99.999  9.999 19.221   0   0 9.999 2883   4 0.191
158937 1579.84 3982.29 99.999  9.999 18.762   0   0 9.999 2891   2 0.085
158939 1634.59 3981.54 99.999  9.999 19.161   0   0 9.999 2876   6 0.112
158942 1640.14 3980.94 99.999  9.999 19.784   0   0 9.999 2839   4 0.250
158945 1601.86 3984.42 99.999  9.999 19.050   0   0 9.999 2885   3 0.111
158950 1614.00 3984.75 99.999  9.999 18.889   0   0 9.999 2888   0 0.080
158956 1576.51 3987.67 99.999  9.999 18.730   0   0 9.999 2889   2 0.075
158959 1643.60 3986.43 99.999  9.999 18.462   0   0 9.999 2897   4 0.181
158968 1549.14 3989.15 99.999  9.999 19.289   0   0 9.999 2877   4 0.115
158969 1622.73 3992.15 99.999  9.999 18.967   0   0 9.999 2886   3 0.089
158975 1589.79 3989.89 99.999  9.999 19.277   0   0 9.999 2878  10 0.157
158976 1598.04 3989.88 99.999  9.999 19.422   0   0 9.999 2889   5 0.150
158977 1619.58 3991.10 99.999  9.999 19.470   0   0 9.999 2885   3 0.142
158983 1634.79 3994.87 99.999  9.999 19.469   0   0 9.999 2882   4 0.145
158985 1568.80 3996.26 99.999  9.999 19.070   0   0 9.999 2892   2 0.104
158986 1611.34 3996.20 99.999  9.999 19.287   0   0 9.999 2888   4 0.133
158994 1578.54 4000.43 99.999  9.999 19.270   0   0 9.999 2894   0 0.161
158995 1615.22 4000.56 99.999  9.999 19.390   0   0 9.999 2889   2 0.129
158998 1565.83 4000.88 21.164  2.104 19.060  76   0 0.226 2886   4 0.119
159006 1568.39 4006.30 99.999  9.999 19.379   0   0 9.999 2857   0 0.270
159007 1618.95 4006.91 20.710  1.884 18.827  74   0 0.131 2894   2 0.081
159008 1646.27 4006.27 21.758  2.724 19.034  76   0 0.316 2884   4 0.092
159011 1580.29 4007.41 99.999  9.999 19.246   0   0 9.999 2889   2 0.137
159015 1624.72 4010.06 99.999  9.999 18.840   0   0 9.999 2892   1 0.080
159021 1555.76 4012.13 99.999  9.999 19.338   0   0 9.999 2882   3 0.127
159022 1584.63 4012.81 99.999  9.999 18.858   0   0 9.999 2889   1 0.084
159023 1619.31 4012.64 99.999  9.999 19.455   0   0 9.999 2888   1 0.145
159027 1579.90 4016.78 99.999  9.999 18.840   0   0 9.999 2891   2 0.084
159036 1587.48 4020.59 99.999  9.999 19.476   0   0 9.999 2887   5 0.138
159040 1574.27 4021.73 99.999  9.999 19.157   0   0 9.999 2881  10 0.126
159041 1622.06 4022.27 99.999  9.999 19.108   0   0 9.999 2892   1 0.099
159042 1628.07 4021.78 99.999  9.999 19.051   0   0 9.999 2889   1 0.095
159050 1633.31 4025.00 99.999  9.999 19.129   0   0 9.999 2891   2 0.105
159051 1644.83 4025.47 99.999  9.999 19.005   0   0 9.999 2885   1 0.090
159053 1617.24 4025.60 99.999  9.999 19.192   0   0 9.999 2886   3 0.107
159054 1640.65 4026.06 99.999  9.999 19.066   0   0 9.999 2886   5 0.094
159055 1541.35 4026.72 99.999  9.999 19.088   0   0 9.999 2889   2 0.096
159067 1634.27 4032.53 99.999  9.999 18.932   0   0 9.999 2886   1 0.086
159074 1569.84 4032.55 99.999  9.999 19.415   0   0 9.999 2881   3 0.133
159081 1547.68 4036.07 99.999  9.999 19.875   0   0 9.999 2880   1 0.195
159088 1628.42 4038.25 99.999  9.999 19.056   0   0 9.999 2888   4 0.093
159095 1600.69 4038.65 99.999  9.999 19.489   0   0 9.999 2867   3 0.170
159096 1624.83 4038.78 99.999  9.999 19.363   0   0 9.999 2889   1 0.124
159104 1592.59 4041.67 99.999  9.999 19.266   0   0 9.999 2865   7 0.140
159118 1560.42 4046.71 99.999  9.999 19.232   0   0 9.999 2887   2 0.120
159121 1604.67 4048.40 99.999  9.999 18.845   0   0 9.999 2595   0 0.467
159136 1556.00 4052.63 99.999  9.999 19.250   0   0 9.999 2880   3 0.109
159137 1607.63 4053.85 99.999  9.999 19.423   0   0 9.999 2717   0 0.368
159140 1603.92 4053.25 99.999  9.999 18.702   0   0 9.999 2105   0 0.674
159143 1642.37 4057.44 99.999  9.999 19.402   0   0 9.999 2884   2 0.129
159148 1558.37 4056.75 99.999  9.999 19.211   0   0 9.999 2887   3 0.106
159167 1608.91 4064.73 99.999  9.999 19.580   0   0 9.999 2880   2 0.163
159175 1622.57 4067.95 99.999  9.999 19.276   0   0 9.999 2891   2 0.150
159191 1555.98 4074.99 99.999  9.999 19.522   0   0 9.999 2876   3 0.165
159198 1618.00 4077.58 99.999  9.999 18.979   0   0 9.999 2882   6 0.086
159200 1608.93 4077.68 99.999  9.999 19.427   0   0 9.999 2877   4 0.128
159201 1637.44 4078.36 99.999  9.999 19.339   0   0 9.999 2883   3 0.123
159211 1587.36 4081.88 22.039  2.539 19.500  73   0 0.442 2878   4 0.140
159216 1592.02 4084.34 99.999  9.999 19.171   0   0 9.999 2887   1 0.108
