# OGLE EWS map.dat file for OGLE-2024-BLG-0475
# EWS paper: Udalski et al. 2015, Acta Astron., 65, 1
# EWS website: https://ogle.astrouw.edu.pl/ogle4/ews/ews.html
col0   col1    col2    V       col4  I       col6 col7 col8 col9 col10 col11
  6021  135.31 1062.56 99.999  9.999 20.640   0   0 9.999  276   0 0.320
  6022  204.41 1062.84 21.798  1.804 19.994  20   1 0.177  334   1 0.200
  6023  225.54 1062.91 99.999  9.999 20.615   0   0 9.999  339   0 0.308
  6024  420.71 1064.07 99.999  9.999 20.062   0   0 9.999  342   0 0.202
  6027  306.56 1066.02 99.999  9.999 20.067   0   0 9.999  338   0 0.191
  6028  326.23 1066.03 99.999  9.999 19.737   0   0 9.999  341   0 0.145
  6030  231.34 1065.51 99.999  9.999 19.971   0   0 9.999  342   0 0.175
  6031  395.36 1066.38 99.999  9.999 19.363   0   0 9.999  341   1 0.100
  6032  486.59 1065.38 99.999  9.999 20.850   0   0 9.999  320   0 0.396
  6033  522.87 1064.83 99.999  9.999 20.901   0   0 9.999  313   0 0.443
  6034  140.92 1066.55 99.999  9.999 20.511   0   0 9.999  287   0 0.275
  6035  154.68 1069.33 99.999  9.999 19.835   0   0 9.999  307   0 0.158
  6036  285.21 1068.42 99.999  9.999 20.064   0   0 9.999  343   0 0.191
  6037  338.29 1068.10 99.999  9.999 20.049   0   0 9.999  340   0 0.174
  6038  357.35 1066.91 99.999  9.999 20.214   0   0 9.999  341   0 0.251
  6039  540.25 1066.61 99.999  9.999 20.456   0   0 9.999  332   0 0.328
  6041  161.35 1067.32 99.999  9.999 20.380   0   0 9.999  313   0 0.274
  6042  262.45 1069.00 99.999  9.999 20.686   0   0 9.999  333   0 0.311
  6043  407.13 1069.08 99.999  9.999 20.142   0   0 9.999  340   1 0.224
  6044  477.58 1068.49 99.999  9.999 20.097   0   0 9.999  341   0 0.234
  6045  217.86 1070.19 99.999  9.999 19.957   0   0 9.999  334   2 0.156
  6046  242.63 1070.07 99.999  9.999 19.783   0   0 9.999  341   2 0.125
  6047  316.77 1069.42 99.999  9.999 20.237   0   0 9.999  338   1 0.218
  6048  488.08 1069.46 99.999  9.999 20.694   0   0 9.999  328   0 0.355
  6050  272.09 1069.72 99.999  9.999 19.675   0   0 9.999  341   0 0.145
  6051  441.14 1071.61 99.999  9.999 20.283   0   0 9.999  344   1 0.254
  6052  400.99 1073.02 99.999  9.999 20.167   0   0 9.999  339   0 0.196
  6053  310.13 1072.71 99.999  9.999 20.192   0   0 9.999  339   0 0.210
  6054  354.28 1073.77 99.999  9.999 20.163   0   0 9.999  345   0 0.229
  6055  166.47 1074.04 99.999  9.999 20.350   0   0 9.999  313   0 0.265
  6056  215.42 1077.14 99.999  9.999 20.402   0   0 9.999  338   0 0.257
  6057  249.13 1076.81 99.999  9.999 19.990   0   0 9.999  344   0 0.193
  6058  337.24 1076.47 99.999  9.999 19.717   0   0 9.999  343   0 0.133
  6059  428.36 1078.63 99.999  9.999 19.800   0   0 9.999  347   0 0.167
  6060  540.20 1076.88 99.999  9.999 20.485   0   0 9.999  334   0 0.317
  6062  254.54 1077.48 99.999  9.999 20.010   0   0 9.999  338   1 0.182
  6063  236.40 1076.69 99.999  9.999 20.575   0   0 9.999  331   1 0.289
  6064  491.96 1077.45 99.999  9.999 19.811   0   0 9.999  345   0 0.188
  6066  263.60 1079.89 99.999  9.999 19.643   0   0 9.999  341   0 0.134
  6067  367.44 1080.22 99.999  9.999 19.879   0   0 9.999  339   1 0.167
  6068  188.03 1081.13 99.999  9.999 19.892   0   0 9.999  327   1 0.174
  6069  344.72 1080.03 99.999  9.999 20.062   0   0 9.999  340   2 0.193
  6070  468.02 1079.07 99.999  9.999 20.436   0   0 9.999  336   0 0.301
  6071  544.08 1079.57 99.999  9.999 20.136   0   0 9.999  342   0 0.262
  6073  416.50 1081.99 99.999  9.999 19.898   0   0 9.999  342   1 0.167
  6075  202.42 1083.68 99.999  9.999 19.883   0   0 9.999  336   0 0.210
  6076  238.38 1081.21 99.999  9.999 20.380   0   0 9.999  335   2 0.246
  6077  389.50 1082.04 99.999  9.999 20.628   0   0 9.999  334   0 0.317
  6078  485.70 1082.59 99.999  9.999 19.725   0   0 9.999  344   0 0.167
  6079  516.26 1081.30 99.999  9.999 20.402   0   0 9.999  342   0 0.292
  6081  250.24 1082.09 99.999  9.999 20.071   0   0 9.999  339   0 0.188
  6082  281.21 1082.82 99.999  9.999 19.901   0   0 9.999  341   0 0.160
  6083  436.27 1082.71 99.999  9.999 20.313   0   0 9.999  340   0 0.249
  6084  445.32 1086.10 99.999  9.999 19.920   0   0 9.999  343   0 0.329
  6086  331.07 1083.95 99.999  9.999 19.645   0   0 9.999  344   1 0.135
  6087  347.59 1083.89 99.999  9.999 20.054   0   0 9.999  341   1 0.221
  6088  531.62 1084.14 99.999  9.999 19.928   0   0 9.999  342   0 0.210
  6089  139.50 1085.16 99.999  9.999 19.923   0   0 9.999  294   0 0.172
  6090  180.32 1084.76 99.999  9.999 20.074   0   0 9.999  323   0 0.202
  6091  337.74 1084.75 99.999  9.999 20.530   0   0 9.999  332   0 0.262
  6092  395.70 1085.52 99.999  9.999 20.145   0   0 9.999  343   0 0.230
  6093  500.23 1083.81 99.999  9.999 20.148   0   0 9.999  341   0 0.241
  6094  521.96 1084.66 99.999  9.999 19.824   0   0 9.999  343   1 0.188
  6096  170.89 1085.99 99.999  9.999 19.903   0   0 9.999  318   2 0.165
  6097  300.37 1085.49 99.999  9.999 19.779   0   0 9.999  341   0 0.146
  6098  326.45 1085.64 99.999  9.999 20.250   0   0 9.999  341   0 0.233
  6099  537.47 1086.64 99.999  9.999 19.918   0   0 9.999  341   0 0.206
  6101  127.63 1087.51 99.999  9.999 20.203   0   0 9.999  261   1 0.216
  6102  278.66 1087.42 99.999  9.999 20.008   0   0 9.999  341   1 0.187
  6103  385.47 1087.32 99.999  9.999 20.860   0   0 9.999  334   0 0.354
  6104  439.81 1087.03 99.999  9.999 20.456   0   0 9.999  328   1 0.315
  6107  546.95 1088.90 99.999  9.999 20.197   0   0 9.999  338   0 0.249
  6108  303.81 1089.59 99.999  9.999 20.156   0   0 9.999  341   0 0.215
  6109  128.66 1093.93 99.999  9.999 19.879   0   0 9.999  267   0 0.167
  6110  141.70 1089.82 99.999  9.999 20.717   0   0 9.999  286   0 0.332
  6111  250.66 1089.88 99.999  9.999 20.942   0   0 9.999  326   0 0.370
  6112  505.78 1090.49 99.999  9.999 20.293   0   0 9.999  338   0 0.288
  6113  131.32 1090.57 99.999  9.999 20.143   0   0 9.999  271   0 0.194
  6114  210.01 1092.75 99.999  9.999 19.978   0   0 9.999  324   0 0.290
  6115  336.80 1091.59 99.999  9.999 20.184   0   0 9.999  333   0 0.238
  6116  390.65 1093.40 99.999  9.999 19.974   0   0 9.999  343   1 0.177
  6117  536.38 1090.74 99.999  9.999 19.644   0   0 9.999  339   1 0.215
  6119  181.39 1094.13 99.999  9.999 19.680   0   0 9.999  327   0 0.152
  6120  421.37 1093.05 99.999  9.999 20.294   0   0 9.999  344   0 0.228
  6121  526.32 1093.49 99.999  9.999 20.268   0   0 9.999  342   0 0.257
  6122  187.29 1095.17 99.999  9.999 20.359   0   0 9.999  308   0 0.329
  6123  216.60 1094.82 99.999  9.999 20.677   0   0 9.999  315   0 0.370
  6124  171.06 1094.66 99.999  9.999 20.232   0   0 9.999  320   1 0.225
  6125  296.81 1097.97 99.999  9.999 19.763   0   0 9.999  343   0 0.137
  6126  267.28 1097.56 99.999  9.999 19.682   0   0 9.999  341   2 0.129
  6127  384.95 1097.50 99.999  9.999 20.501   0   0 9.999  339   0 0.256
  6129  448.97 1098.75 99.999  9.999 20.050   0   0 9.999  342   0 0.257
  6130  400.35 1100.51 99.999  9.999 20.083   0   0 9.999  341   0 0.198
  6131  438.91 1100.74 99.999  9.999 20.326   0   0 9.999  339   0 0.253
  6132  483.69 1100.68 99.999  9.999 20.164   0   0 9.999  337   1 0.223
  6133  133.33 1101.34 99.999  9.999 20.111   0   0 9.999  281   0 0.213
  6134  224.13 1103.47 99.999  9.999 19.566   0   0 9.999  342   0 0.127
  6135  316.16 1101.49 99.999  9.999 20.428   0   0 9.999  338   0 0.253
  6136  426.27 1101.69 99.999  9.999 20.341   0   0 9.999  340   0 0.230
  6137  545.25 1103.71 22.137  2.335 19.802  21   0 0.411  342   0 0.200
  6139  149.14 1103.93 99.999  9.999 20.412   0   0 9.999  295   0 0.265
  6140  491.41 1104.69 99.999  9.999 19.779   0   0 9.999  342   0 0.163
  6141  238.13 1105.84 99.999  9.999 20.444   0   0 9.999  338   1 0.259
  6142  290.38 1108.96 99.999  9.999 19.899   0   0 9.999  345   0 0.167
  6143  361.45 1102.55 99.999  9.999 20.637   0   0 9.999  334   1 0.318
  6144  469.74 1105.43 99.999  9.999 19.940   0   0 9.999  344   0 0.193
  6145  277.87 1105.66 99.999  9.999 20.144   0   0 9.999  340   0 0.208
  6146  288.66 1103.88 99.999  9.999 20.776   0   0 9.999  330   0 0.363
  6147  531.32 1105.21 99.999  9.999 20.183   0   0 9.999  338   0 0.245
  6149  398.89 1109.76 99.999  9.999 19.933   0   0 9.999  342   0 0.176
  6152  142.01 1108.61 99.999  9.999 20.103   0   0 9.999  291   0 0.212
  6153  159.99 1106.59 99.999  9.999 20.539   0   0 9.999  307   0 0.279
  6154  264.32 1109.33 99.999  9.999 19.801   0   0 9.999  338   0 0.160
  6155  314.63 1111.03 99.999  9.999 20.052   0   0 9.999  341   1 0.180
  6156  313.92 1107.09 99.999  9.999 20.560   0   0 9.999  335   0 0.293
  6157  453.74 1108.42 99.999  9.999 20.285   0   0 9.999  340   1 0.232
  6158  546.52 1108.47 99.999  9.999 20.206   0   0 9.999  338   0 0.257
  6159  211.85 1108.61 99.999  9.999 20.692   0   0 9.999  319   0 0.390
  6160  428.55 1107.65 99.999  9.999 20.522   0   0 9.999  341   0 0.281
  6161  173.37 1110.38 99.999  9.999 19.771   0   0 9.999  320   1 0.155
  6162  335.73 1109.99 99.999  9.999 20.413   0   0 9.999  342   0 0.280
  6163  444.24 1110.11 99.999  9.999 20.465   0   0 9.999  343   1 0.278
  6164  534.77 1110.72 99.999  9.999 20.098   0   0 9.999  341   0 0.224
  6165  155.25 1111.80 99.999  9.999 20.350   0   0 9.999  305   0 0.233
  6166  321.26 1112.47 99.999  9.999 20.770   0   0 9.999  334   0 0.338
  6167  527.59 1111.39 99.999  9.999 19.996   0   0 9.999  344   0 0.188
  6168  326.98 1113.41 99.999  9.999 20.386   0   0 9.999  341   0 0.238
  6169  414.53 1113.29 99.999  9.999 20.037   0   0 9.999  342   0 0.191
  6171  180.74 1113.83 99.999  9.999 20.318   0   0 9.999  322   0 0.257
  6172  341.57 1114.02 99.999  9.999 19.955   0   0 9.999  344   1 0.183
  6173  437.72 1113.94 99.999  9.999 20.258   0   0 9.999  338   2 0.219
  6174  312.15 1113.28 99.999  9.999 20.955   0   0 9.999  328   0 0.364
  6175  454.86 1114.44 99.999  9.999 20.003   0   0 9.999  339   1 0.176
  6176  155.16 1117.19 99.999  9.999 20.523   0   0 9.999  303   0 0.280
  6177  241.91 1117.89 99.999  9.999 20.699   0   0 9.999  332   0 0.311
  6178  253.16 1117.45 99.999  9.999 20.219   0   0 9.999  343   1 0.214
